Sa2code,Total,Japanese,Hungarian,English,Serbian,Spanish,Australian Indigenous,Chinese,Austronesian,Thai,Arabic,Russian,Assyrian,Turkish,Greek,Iranic,Polish,Croatian,Korean,Maltese,French,Dutch,Italian,Vietnamese,Germa,Samoan,Macedonian,Indo Aryan,Tamil,Khmer,Portuguese
211051278,17988,9,19,16283,6,30,6,104,47,14,24,13,0,6,35,3,35,21,0,0,30,85,383,9,90,7,7,77,14,10,9
211051275,9124,3,14,7988,14,13,6,70,49,20,26,5,0,19,29,8,44,21,0,8,16,38,242,18,60,6,7,56,0,0,0
211051276,12844,22,21,11861,4,15,3,20,9,5,9,0,0,0,32,0,30,6,0,0,12,60,90,4,78,4,0,10,3,8,0
212011288,8203,4,6,7702,3,14,0,0,19,0,0,4,0,0,6,0,12,14,0,3,6,22,72,0,25,4,12,7,0,0,4
212011289,17510,13,20,16082,3,30,3,20,28,11,5,14,0,4,37,0,19,23,0,3,34,72,144,4,116,0,3,3,0,0,4
212011290,6529,0,0,6016,4,17,0,10,15,4,0,0,0,0,18,5,8,17,0,6,0,28,102,0,14,7,3,12,0,3,0
211051280,6732,4,6,6030,0,9,0,20,12,3,7,0,0,0,9,0,0,9,0,0,12,75,30,0,69,0,0,13,0,0,3
211051281,20689,14,20,18323,13,52,0,249,104,13,61,13,0,8,75,20,31,36,7,6,35,78,240,23,107,10,34,118,12,11,0
211051282,9657,20,18,8825,7,35,0,23,13,17,0,9,0,0,41,0,23,0,0,6,17,68,45,0,78,0,0,4,0,0,0
212031300,18621,7,33,14271,43,162,0,148,228,20,143,43,6,45,121,301,30,50,11,18,99,58,169,48,41,229,17,570,97,130,21
211051283,9375,7,9,8717,5,9,3,17,19,6,16,0,0,4,21,0,21,0,0,0,18,70,62,15,52,0,0,6,0,0,0
212031301,8209,6,29,6068,20,97,0,102,104,7,73,18,0,11,30,84,9,28,3,10,31,26,74,18,29,49,0,424,48,39,12
